地域,リサイクル資源,資源プラスチック,可燃ごみ,不燃ごみ
上宗岡全域※下記除く,月曜日,水曜日,火曜日・金曜日,第2水曜日・第4水曜日
上宗岡4-6-27,月曜日,水曜日,水曜日・土曜日,第2水曜日・第4水曜日
,,,,
上宗岡4-6-47,,,,
中宗岡1丁目,月曜日,水曜日,火曜日・金曜日,第2水曜日・第4水曜日
,,,,
中宗岡2丁目,,,,
中宗岡3丁目,火曜日,金曜日,月曜日・木曜日,第2金曜日・第4金曜日
,,,,
中宗岡4丁目,,,,
,,,,
中宗岡5丁目,,,,
下宗岡全域,火曜日,金曜日,月曜日・木曜日,第2金曜日・第4金曜日
本町全域,金曜日,火曜日,月曜日・木曜日,第2火曜日・第4火曜日
幸町全域,木曜日,月曜日,水曜日・土曜日,第2月曜日・第4月曜日
館1-5,木曜日,月曜日,月曜日・木曜日,第2月曜日・第4月曜日
,,,,
館1-6,,,,
,,,,
館2-1,,,,
,,,,
館2-3,,,,
,,,,
館2-4-5,,,,
,,,,
館2-8,,,,
館1-1,木曜日,月曜日,火曜日・金曜日,第2月曜日・第4月曜日
,,,,
館2-4※2-4-5を除く,,,,
,,,,
館2-6,,,,
,,,,
館2-2-3,,,,
,,,,
館2-2-4,,,,
柏町全域,水曜日,木曜日,火曜日・金曜日,第2木曜日・第4木曜日
